time,o,h,l,c,volume
2020-01-30T20:09:53.296439052Z,1.103145,1.10319,1.103145,1.10319,
2020-01-30T20:09:58.438918817Z,1.10319,1.10319,1.10318,1.103185,
2020-01-30T20:10:03.559179652Z,1.103185,1.103195,1.10318,1.103195,
2020-01-30T20:10:08.677296956Z,1.103195,1.103195,1.10318,1.103195,
2020-01-30T20:10:14.034810661Z,1.103185,1.103195,1.103185,1.103195,
2020-01-30T20:10:17.643543485Z,1.103195,1.103195,1.103195,1.103195,
2020-01-30T20:10:25.780968630Z,1.10319,1.103205,1.10319,1.103195,
2020-01-30T20:10:30.940429831Z,1.103195,1.10325,1.103195,1.10325,
2020-01-30T20:10:36.095274922Z,1.10325,1.103265,1.10325,1.103255,
2020-01-30T20:10:41.978760602Z,1.10328,1.103305,1.10328,1.103305,
2020-01-30T20:10:46.686798851Z,1.103305,1.103305,1.103305,1.103305,
2020-01-30T20:11:03.908416672Z,1.10332,1.103355,1.10332,1.103345,
2020-01-30T20:11:08.706402552Z,1.103345,1.103345,1.10329,1.10329,
2020-01-30T20:11:15.852966971Z,1.10331,1.10331,1.1033,1.10331,
2020-01-30T20:11:22.140491887Z,1.1033,1.10331,1.103285,1.10331,
2020-01-30T20:11:27.295244645Z,1.10331,1.10331,1.1033,1.1033,
2020-01-30T20:11:32.511297386Z,1.1033,1.1033,1.103255,1.103255,
2020-01-30T20:11:36.515761881Z,1.103255,1.103255,1.10323,1.10323,
2020-01-30T20:11:43.796499265Z,1.10326,1.10326,1.10325,1.10325,
2020-01-30T20:11:49.587217033Z,1.10325,1.10326,1.103235,1.103235,
2020-01-30T20:11:52.119501971Z,1.10325,1.10325,1.10324,1.10324,
2020-01-30T20:12:03.488893727Z,1.103235,1.10325,1.103225,1.10325,
2020-01-30T20:12:23.988588819Z,1.10325,1.10326,1.10325,1.10326,
2020-01-30T20:12:28.478775743Z,1.10326,1.10326,1.10326,1.10326,
2020-01-30T20:12:34.539528732Z,1.10326,1.10326,1.103235,1.103235,
2020-01-30T20:12:40.198206776Z,1.103255,1.103255,1.103215,1.103225,
2020-01-30T20:12:47.383862255Z,1.103205,1.103205,1.10317,1.10317,
2020-01-30T20:12:53.398607524Z,1.10319,1.10322,1.10319,1.103205,
2020-01-30T20:12:59.526333710Z,1.103205,1.103205,1.103205,1.103205,
2020-01-30T20:13:05.740164053Z,1.103205,1.103215,1.103205,1.103205,
2020-01-30T20:13:10.211010517Z,1.103205,1.103205,1.103205,1.103205,
2020-01-30T20:13:22.132788824Z,1.103215,1.103215,1.1032,1.1032,
2020-01-30T20:13:28.337085323Z,1.1032,1.103205,1.1032,1.103205,
2020-01-30T20:13:32.952644114Z,1.103205,1.103215,1.103205,1.103215,
2020-01-30T20:13:41.674753275Z,1.103215,1.103215,1.103205,1.103205,
2020-01-30T20:13:47.445736351Z,1.103205,1.10322,1.103205,1.10322,
2020-01-30T20:13:50.761758523Z,1.10322,1.10322,1.10322,1.10322,
2020-01-30T20:14:07.047106577Z,1.103205,1.103205,1.103185,1.103205,
2020-01-30T20:14:11.965127204Z,1.103205,1.103205,1.103205,1.103205,
2020-01-30T20:14:19.621633547Z,1.103205,1.103215,1.103205,1.103205,
2020-01-30T20:14:30.802806616Z,1.103205,1.103205,1.103195,1.103195,
2020-01-30T20:14:37.401259515Z,1.103195,1.103195,1.103195,1.103195,
2020-01-30T20:14:42.692760939Z,1.103195,1.1032,1.103195,1.1032,
2020-01-30T20:14:47.045601703Z,1.10321,1.103215,1.103205,1.103205,
2020-01-30T20:14:51.227980037Z,1.103205,1.103205,1.103205,1.103205,
2020-01-30T20:14:58.250091305Z,1.103255,1.103265,1.103255,1.103255,
2020-01-30T20:15:03.312419962Z,1.103255,1.10326,1.103255,1.10326,
2020-01-30T20:15:07.957003611Z,1.10326,1.10326,1.10326,1.10326,
2020-01-30T20:15:14.317987192Z,1.10326,1.10326,1.10326,1.10326,
2020-01-30T20:15:32.477737343Z,1.103305,1.103305,1.10329,1.1033,
2020-01-30T20:15:43.477700702Z,1.1033,1.1033,1.103245,1.103255,
2020-01-30T20:15:51.742339512Z,1.103245,1.103245,1.103205,1.103205,
2020-01-30T20:15:56.800240136Z,1.103205,1.103225,1.103205,1.103215,
2020-01-30T20:16:02.435600527Z,1.103205,1.103205,1.103205,1.103205,
2020-01-30T20:16:13.712113119Z,1.10319,1.10319,1.10319,1.10319,
2020-01-30T20:16:18.880980093Z,1.10319,1.10321,1.10319,1.1032,
2020-01-30T20:16:23.844297524Z,1.1032,1.1032,1.1032,1.1032,
2020-01-30T20:16:29.247650861Z,1.1032,1.1032,1.1032,1.1032,
2020-01-30T20:16:34.928822457Z,1.1032,1.1032,1.1032,1.1032,
2020-01-30T20:16:39.997278388Z,1.1032,1.1032,1.1032,1.1032,
2020-01-30T20:16:44.322845304Z,1.1032,1.1032,1.1032,1.1032,
2020-01-30T20:16:50.082872229Z,1.1032,1.103215,1.1032,1.103215,
2020-01-30T20:16:57.247560692Z,1.103215,1.103215,1.103205,1.103215,
2020-01-30T20:17:01.522948163Z,1.103215,1.103215,1.103205,1.103205,
2020-01-30T20:17:05.560854289Z,1.103205,1.103205,1.103205,1.103205,
2020-01-30T20:17:13.592045232Z,1.103215,1.103215,1.103205,1.103205,
2020-01-30T20:17:18.166109502Z,1.103205,1.103215,1.103205,1.103215,
2020-01-30T20:17:29.317508725Z,1.103255,1.103265,1.103255,1.103255,
2020-01-30T20:17:33.516677125Z,1.103245,1.103245,1.103245,1.103245,
2020-01-30T20:17:41.640260912Z,1.103245,1.10325,1.103215,1.10325,
2020-01-30T20:17:46.006323690Z,1.10325,1.10325,1.10325,1.10325,
2020-01-30T20:17:51.133124058Z,1.10325,1.10326,1.10325,1.10326,
2020-01-30T20:17:55.794775101Z,1.10325,1.10325,1.10325,1.10325,
2020-01-30T20:18:03.389255438Z,1.10326,1.10326,1.10326,1.10326,
2020-01-30T20:18:08.487048858Z,1.10326,1.10327,1.10326,1.10327,
2020-01-30T20:18:43.702623333Z,1.10326,1.10326,1.103215,1.103255,
2020-01-30T20:18:55.754100899Z,1.103265,1.103315,1.103265,1.103305,
2020-01-30T20:19:00.714924112Z,1.103315,1.103335,1.103315,1.10332,
2020-01-30T20:19:08.139452037Z,1.103355,1.103355,1.103355,1.103355,
2020-01-30T20:19:19.279222559Z,1.10334,1.10335,1.10331,1.10331,
2020-01-30T20:19:23.944472290Z,1.10331,1.10332,1.10331,1.10331,
2020-01-30T20:19:28.809007368Z,1.10331,1.10333,1.10331,1.10333,
2020-01-30T20:19:44.964521883Z,1.103305,1.103305,1.103305,1.103305,
2020-01-30T20:19:53.033389909Z,1.103305,1.103305,1.103275,1.103295,
2020-01-30T20:19:58.859604538Z,1.103295,1.10331,1.103295,1.1033,
2020-01-30T20:20:04.276076421Z,1.1033,1.1033,1.1033,1.1033,
2020-01-30T20:20:10.433108009Z,1.103265,1.103265,1.103265,1.103265,
2020-01-30T20:20:16.304754191Z,1.103255,1.103255,1.103255,1.103255,
2020-01-30T20:20:22.396259033Z,1.103265,1.103265,1.103265,1.103265,
2020-01-30T20:20:27.506365861Z,1.103265,1.103265,1.103255,1.103255,
2020-01-30T20:20:30.013157527Z,1.103255,1.103255,1.103255,1.103255,
2020-01-30T20:21:06.373105653Z,1.103255,1.103255,1.103225,1.10325,
2020-01-30T20:21:10.337943338Z,1.103285,1.103295,1.103285,1.103295,
2020-01-30T20:21:17.994434880Z,1.103295,1.10331,1.103295,1.10331,
