time,o,h,l,c,volume
2020-01-28T09:10:00.000000000Z,1.10198,1.102,1.10178,1.10182,62
2020-01-28T09:11:00.000000000Z,1.1018,1.102,1.10178,1.10199,67
2020-01-28T09:12:00.000000000Z,1.102,1.10204,1.10192,1.1019700000000001,74
2020-01-28T09:13:00.000000000Z,1.10196,1.10208,1.10195,1.10204,43
2020-01-28T09:14:00.000000000Z,1.10202,1.10202,1.1019,1.10196,63
2020-01-28T09:15:00.000000000Z,1.1019700000000001,1.10202,1.10191,1.10202,78
2020-01-28T09:16:00.000000000Z,1.10204,1.1021,1.10202,1.10209,84
2020-01-28T09:17:00.000000000Z,1.10208,1.10214,1.10204,1.1021299999999998,82
2020-01-28T09:18:00.000000000Z,1.10212,1.10218,1.10204,1.10206,59
2020-01-28T09:19:00.000000000Z,1.10208,1.10215,1.10205,1.10214,54
2020-01-28T09:20:00.000000000Z,1.10214,1.10214,1.10202,1.10206,44
2020-01-28T09:21:00.000000000Z,1.10204,1.10209,1.10181,1.10182,57
2020-01-28T09:22:00.000000000Z,1.10181,1.1018700000000001,1.10168,1.10172,81
2020-01-28T09:23:00.000000000Z,1.1017,1.10184,1.1017,1.10176,45
2020-01-28T09:24:00.000000000Z,1.10174,1.1018,1.10171,1.1017299999999999,33
2020-01-28T09:25:00.000000000Z,1.10174,1.10176,1.10169,1.1017299999999999,71
2020-01-28T09:26:00.000000000Z,1.10172,1.10174,1.10156,1.10161,114
2020-01-28T09:27:00.000000000Z,1.10162,1.10166,1.10156,1.10161,96
2020-01-28T09:28:00.000000000Z,1.10162,1.10162,1.10146,1.10148,50
2020-01-28T09:29:00.000000000Z,1.10146,1.1014899999999999,1.10135,1.10138,50
2020-01-28T09:30:00.000000000Z,1.10138,1.1014700000000002,1.10134,1.10142,32
2020-01-28T09:31:00.000000000Z,1.10142,1.1014700000000002,1.10135,1.1014,59
2020-01-28T09:32:00.000000000Z,1.10141,1.10148,1.1013700000000002,1.10142,59
2020-01-28T09:33:00.000000000Z,1.1014,1.10155,1.1013600000000001,1.10152,61
2020-01-28T09:34:00.000000000Z,1.1015,1.1016,1.10146,1.10153,87
2020-01-28T09:35:00.000000000Z,1.10152,1.10162,1.10151,1.10155,36
2020-01-28T09:36:00.000000000Z,1.10154,1.1016,1.10152,1.10152,31
2020-01-28T09:37:00.000000000Z,1.1015,1.10154,1.10144,1.10152,56
2020-01-28T09:38:00.000000000Z,1.10154,1.10156,1.10151,1.10154,58
2020-01-28T09:39:00.000000000Z,1.10155,1.10156,1.10142,1.1014700000000002,39
2020-01-28T09:40:00.000000000Z,1.10148,1.10152,1.10148,1.10151,31
2020-01-28T09:41:00.000000000Z,1.10152,1.10155,1.10138,1.1014,70
2020-01-28T09:42:00.000000000Z,1.10142,1.1015,1.1013899999999999,1.10142,59
2020-01-28T09:43:00.000000000Z,1.10143,1.10156,1.10142,1.10156,42
2020-01-28T09:44:00.000000000Z,1.10155,1.10168,1.10155,1.10168,58
2020-01-28T09:45:00.000000000Z,1.1016700000000001,1.1017700000000001,1.1016700000000001,1.1017299999999999,58
2020-01-28T09:46:00.000000000Z,1.10174,1.10175,1.1016,1.10161,37
2020-01-28T09:47:00.000000000Z,1.1016,1.10182,1.1016,1.10182,63
2020-01-28T09:48:00.000000000Z,1.10181,1.10181,1.10172,1.10178,23
2020-01-28T09:49:00.000000000Z,1.10176,1.10192,1.10174,1.10191,65
2020-01-28T09:50:00.000000000Z,1.10192,1.10204,1.10192,1.10202,74
2020-01-28T09:51:00.000000000Z,1.1020299999999998,1.10206,1.10182,1.10182,69
2020-01-28T09:52:00.000000000Z,1.10184,1.10194,1.10184,1.10186,41
2020-01-28T09:53:00.000000000Z,1.10186,1.1019,1.10182,1.10188,59
2020-01-28T09:54:00.000000000Z,1.10186,1.1019,1.10186,1.10188,20
2020-01-28T09:55:00.000000000Z,1.1019,1.10192,1.10182,1.1018299999999999,48
2020-01-28T09:56:00.000000000Z,1.10184,1.10186,1.10176,1.10178,59
2020-01-28T09:57:00.000000000Z,1.10176,1.10181,1.10176,1.10178,44
2020-01-28T09:58:00.000000000Z,1.10176,1.1018,1.1017299999999999,1.10176,40
2020-01-28T09:59:00.000000000Z,1.10178,1.10179,1.10166,1.10168,60
2020-01-28T10:00:00.000000000Z,1.10166,1.10166,1.1016299999999999,1.10166,34
2020-01-28T10:01:00.000000000Z,1.10168,1.10169,1.10161,1.1016700000000001,45
2020-01-28T10:02:00.000000000Z,1.10168,1.10181,1.10168,1.10178,42
2020-01-28T10:03:00.000000000Z,1.10178,1.10182,1.10178,1.1018,26
2020-01-28T10:04:00.000000000Z,1.10181,1.10181,1.1017299999999999,1.1017700000000001,41
2020-01-28T10:05:00.000000000Z,1.10176,1.1017700000000001,1.1017,1.1017299999999999,37
2020-01-28T10:06:00.000000000Z,1.10174,1.10184,1.10174,1.10182,78
2020-01-28T10:07:00.000000000Z,1.1018299999999999,1.10199,1.1018299999999999,1.10198,37
2020-01-28T10:08:00.000000000Z,1.10196,1.10208,1.1019,1.10208,68
2020-01-28T10:09:00.000000000Z,1.10209,1.1021,1.10202,1.10202,29
2020-01-28T10:10:00.000000000Z,1.10201,1.10201,1.10181,1.10186,47
2020-01-28T10:11:00.000000000Z,1.1018700000000001,1.102,1.10186,1.10198,22
2020-01-28T10:12:00.000000000Z,1.102,1.10208,1.102,1.10206,51
2020-01-28T10:13:00.000000000Z,1.10208,1.10209,1.1020299999999998,1.10206,32
2020-01-28T10:14:00.000000000Z,1.10205,1.1021299999999998,1.102,1.10212,42
2020-01-28T10:15:00.000000000Z,1.10214,1.10216,1.102,1.10202,49
2020-01-28T10:16:00.000000000Z,1.10204,1.10212,1.10204,1.10209,40
2020-01-28T10:17:00.000000000Z,1.1021,1.10212,1.10206,1.10212,21
2020-01-28T10:18:00.000000000Z,1.1021,1.10212,1.10206,1.10212,29
2020-01-28T10:19:00.000000000Z,1.10212,1.10212,1.10212,1.10212,7
2020-01-28T10:20:00.000000000Z,1.10214,1.10217,1.10212,1.10215,22
2020-01-28T10:21:00.000000000Z,1.10216,1.10225,1.10215,1.1022399999999999,28
2020-01-28T10:22:00.000000000Z,1.10222,1.10222,1.10214,1.10214,31
2020-01-28T10:23:00.000000000Z,1.10216,1.1022299999999998,1.10216,1.1022100000000001,18
2020-01-28T10:24:00.000000000Z,1.1022,1.10226,1.10216,1.10217,23
2020-01-28T10:25:00.000000000Z,1.10218,1.1022,1.10205,1.10214,48
2020-01-28T10:26:00.000000000Z,1.10216,1.10216,1.10208,1.1021,41
2020-01-28T10:27:00.000000000Z,1.1021,1.1022,1.1021,1.1022,46
2020-01-28T10:28:00.000000000Z,1.1022,1.10225,1.10218,1.10218,17
2020-01-28T10:29:00.000000000Z,1.1022,1.10222,1.1021,1.1021,39
2020-01-28T10:30:00.000000000Z,1.1021100000000001,1.10214,1.102,1.102,29
2020-01-28T10:31:00.000000000Z,1.102,1.102,1.10194,1.102,27
2020-01-28T10:32:00.000000000Z,1.102,1.102,1.10196,1.10196,15
2020-01-28T10:33:00.000000000Z,1.10198,1.10206,1.10198,1.10206,30
2020-01-28T10:34:00.000000000Z,1.10206,1.10206,1.10195,1.10195,25
2020-01-28T10:35:00.000000000Z,1.10196,1.1019700000000001,1.10192,1.10195,10
2020-01-28T10:36:00.000000000Z,1.10194,1.10196,1.1019,1.10196,21
2020-01-28T10:37:00.000000000Z,1.10195,1.10198,1.10194,1.10196,10
2020-01-28T10:38:00.000000000Z,1.10198,1.102,1.10192,1.10196,33
2020-01-28T10:39:00.000000000Z,1.10195,1.102,1.10192,1.10196,42
2020-01-28T10:40:00.000000000Z,1.1019700000000001,1.1019700000000001,1.10192,1.10192,10
2020-01-28T10:41:00.000000000Z,1.10194,1.10194,1.1018,1.10182,24
2020-01-28T10:42:00.000000000Z,1.1018,1.10182,1.10169,1.10169,40
2020-01-28T10:43:00.000000000Z,1.10168,1.10178,1.10166,1.10176,26
2020-01-28T10:44:00.000000000Z,1.10176,1.1018,1.10168,1.10168,22
2020-01-28T10:45:00.000000000Z,1.1017,1.10174,1.10166,1.10166,23
2020-01-28T10:46:00.000000000Z,1.10168,1.10172,1.10166,1.10172,18
2020-01-28T10:47:00.000000000Z,1.1017,1.1017,1.10166,1.10168,15
2020-01-28T10:48:00.000000000Z,1.1017,1.1017,1.1015,1.10154,56
