time,o,h,l,c,volume,resistencia,soporte
2020-01-10T04:35:00.000000000Z,1.111,1.111,1.1108200000000001,1.1108200000000001,16,,
2020-01-10T04:40:00.000000000Z,1.11084,1.11084,1.1108,1.1108200000000001,6,,
2020-01-10T04:45:00.000000000Z,1.1108,1.1108,1.1107,1.1107200000000002,6,,
2020-01-10T04:50:00.000000000Z,1.11074,1.11074,1.11074,1.11074,1,,
2020-01-10T04:55:00.000000000Z,1.11077,1.11077,1.11075,1.11075,2,,
2020-01-10T05:00:00.000000000Z,1.11077,1.1108,1.11074,1.11074,4,,
2020-01-10T05:05:00.000000000Z,1.11076,1.1108,1.1107200000000002,1.11076,11,,
2020-01-10T05:10:00.000000000Z,1.1107799999999999,1.11083,1.11076,1.1108,14,,
2020-01-10T05:15:00.000000000Z,1.1107799999999999,1.1108799999999999,1.1107799999999999,1.11084,11,,
2020-01-10T05:20:00.000000000Z,1.11086,1.1108799999999999,1.11079,1.1108799999999999,10,,
2020-01-10T05:25:00.000000000Z,1.11086,1.1109,1.11086,1.1109,5,,
2020-01-10T05:30:00.000000000Z,1.1109200000000001,1.1109200000000001,1.11084,1.11084,4,,
2020-01-10T05:35:00.000000000Z,1.1108200000000001,1.11087,1.1108200000000001,1.1108200000000001,9,,
2020-01-10T05:40:00.000000000Z,1.11084,1.11097,1.1108200000000001,1.1109200000000001,12,,
2020-01-10T05:45:00.000000000Z,1.1109,1.111,1.1109,1.1109799999999999,8,,
2020-01-10T05:50:00.000000000Z,1.11096,1.11096,1.11084,1.11086,11,,
2020-01-10T05:55:00.000000000Z,1.1108799999999999,1.11094,1.1108799999999999,1.1109200000000001,10,,
2020-01-10T06:00:00.000000000Z,1.1109200000000001,1.11099,1.1109,1.1109200000000001,14,,
2020-01-10T06:05:00.000000000Z,1.1109,1.11099,1.1108799999999999,1.11099,11,,
2020-01-10T06:10:00.000000000Z,1.11097,1.11097,1.11095,1.11097,3,,
2020-01-10T06:15:00.000000000Z,1.11095,1.11097,1.11086,1.11097,20,,
